FIPS,CountyName,State,hf_case_fatality,unemployment,no_hs_diploma,pct_black,hospitals,pop_per_pcp,poverty,uninsured_under65,pct_hispanic,urban_rural,diuretic_nonadherence,ras_nonadherence,pm25,heart_disease_prev,cardiac_rehab_participation,ma_penetration,hf_hosp_rate,ffs_beneficiaries,est_hosp_volume
29097,Jasper,MO,5,3.6,10.9,1.6,2,1.3,13.5,12.2,9.8,3,26.2,17.8,9,33.9,41.4,35.16,16.8,15374,258283.2
29099,Jefferson,MO,3.6,3.4,8,1,1,4.1,9.3,7.7,2.6,2,23.2,15.4,6.6,38.1,40.5,55.51,26.0,19836,515736.0
29183,St. Charles,MO,3.2,3.1,4.3,5,4,2.4,6.3,5.1,4.1,2,20.6,14.3,9.6,33.4,43.4,49.39,17.3,36468,630896.4
29189,St. Louis,MO,3.2,3.7,5.5,24,10,0.8,9.8,6.7,3.8,2,22.8,15.9,9.2,31.9,41.7,46.44,19.1,110998,2120061.8
29510,St. Louis City,MO,3.2,4.2,9.2,42.1,3,0.8,21.8,8.4,5.3,1,24.7,19.7,10.7,30.9,33.2,50.01,27.0,24672,666144.0
30063,Missoula,MT,6.1,2.9,3.4,0.4,2,0.8,9.2,9.2,5,3,21.2,13.8,8.5,25,68,20.75,10.3,18460,190138.0
30111,Yellowstone,MT,3.7,2.8,4.5,0.4,2,0.9,8.3,10.1,6.5,3,20,12.2,6,28.1,42.6,26.17,13.3,23813,316712.9
31055,Douglas,NE,4,3,8.6,10.2,6,0.9,11.8,7.9,14.5,3,21.6,14.6,7,29.1,59,33.89,13.0,59304,770952.0
31109,Lancaster,NE,2.9,2.5,6.4,3.7,3,1.5,11.8,6.4,8.4,3,20.9,13.9,6.7,31.5,61.3,21.33,10.6,40675,431155.0
32003,Clark,NV,2.4,5.6,13.1,11.5,19,1.8,12.5,13.4,31.8,1,27.8,18.8,8.4,30.4,15.9,46.23,15.6,199176,3107145.6
32031,Washoe,NV,3.8,4.6,11,2.3,6,1.2,9.4,11.2,26,3,24.7,18,6,25.3,25,34.25,9.8,60077,588754.6
33005,Cheshire,NH,4.1,2.5,5.6,0.6,1,1.7,8.2,6.3,2.6,4,20.3,13.6,5.1,26,41.4,20.6,15.1,15256,230365.6
33011,Hillsborough,NH,3.7,2.8,6.6,2.2,5,1.2,7,6.4,8.5,3,20.8,13.6,3.3,27.9,35.9,24.0,18.0,61690,1110420.0
33013,Merrimack,NH,4.8,2.3,5.5,1.5,3,1,7.5,5.7,2.7,4,20.5,13.3,5.4,27.4,37.6,26.25,13.1,25906,339368.6
33015,Rockingham,NH,2.5,2.7,3.9,0.6,3,1.3,5.3,4.6,3.6,2,20.9,14,5.9,28.7,36.4,20.96,16.6,53990,896234.0
34001,Atlantic,NJ,3.1,5.8,10.7,12.6,2,1.4,11.1,9,20.3,3,25.3,17.5,7.1,36.2,21.5,30.58,20.1,40560,815256.0
34003,Bergen,NJ,4.6,3.8,7.1,5.3,5,0.9,6.7,6.9,22.7,2,25.7,16.9,11,31.4,27.5,27.8,12.1,124696,1508821.6
34005,Burlington,NJ,3.1,4.3,5.7,15.8,3,1.4,5.5,5,9.6,2,23.3,15.6,8.8,32,20.3,34.19,19.2,59527,1142918.4
34007,Camden,NJ,2.4,5.1,10.1,17.8,4,1,11.4,7.7,19.2,2,25.2,17.1,10.3,32.4,15.1,33.98,21.0,64071,1345491.0
34009,Cape May,NJ,5.2,8.3,5.3,3.3,1,1.8,9.8,6.7,8.2,3,22.8,15.3,7.4,36.8,33.4,24.01,19.7,21330,420201.0
34011,Cumberland,NJ,2.5,7.3,18.4,16.4,1,2.6,14.2,12.2,35.7,3,25.7,17.8,7.8,33.2,16.6,37.1,26.5,17872,473608.0
34013,Essex,NJ,4.4,5.6,13.3,35.4,8,1.4,13.4,12,25.1,1,29.5,21.9,8.9,30.7,24,41.3,17.0,69961,1189337.0
34015,Gloucester,NJ,2.8,4.5,6,10.1,1,1.9,7.1,5,8.2,2,23.9,15.5,7.1,33.9,25.4,32.68,21.7,38268,830415.6
34017,Hudson,NJ,3,4.3,12,10.7,6,2.1,14.7,11.2,40.7,1,28.3,21.1,9,30.4,12.7,42.34,17.4,47388,824551.2
34021,Mercer,NJ,3.2,4.6,10.6,17.9,3,1.1,10,10,23,3,24.7,17.5,7.6,32.9,23.9,38.75,18.3,40398,739283.4
34023,Middlesex,NJ,4,4.6,10.8,9.7,5,1.1,8.3,9.2,23.6,2,25.3,18.2,7.9,33.9,23.1,32.02,17.8,94105,1675069.0
34025,Monmouth,NJ,3.4,4.2,5.8,5.7,5,0.9,6.9,6.2,12.9,2,25.3,17.1,8.2,35.4,31.5,24.96,16.8,95989,1612615.2
34027,Morris,NJ,3.5,3.8,5.1,3,3,1.1,4.7,5.4,15.9,2,23.2,15.8,5.6,31.3,33.2,26.79,13.1,67053,878394.3
34029,Ocean,NJ,3.5,4.7,6.5,2.8,4,2.5,9.1,6.3,10.9,2,23.7,15.6,6.3,37.7,28.2,31.79,18.9,105293,1990037.7
34031,Passaic,NJ,4.1,5.4,15.1,9.6,2,1.8,12.1,12.7,44.3,2,27.2,19.2,7.7,33.3,22.1,38.73,15.2,51852,788150.4
34035,Somerset,NJ,3.8,3.9,6,9.2,1,0.9,5.8,5.4,17.6,2,23.9,16.2,8.4,30.9,24,27.71,14.4,41656,599846.4
34037,Sussex,NJ,2.6,4.4,4.6,1.7,1,2.2,5.2,5.1,11.9,2,24,15.1,7.7,35.7,24.4,26.37,16.5,22164,365706.0
34039,Union,NJ,4.3,4.9,13.7,19.1,3,1.6,9.7,12.6,35.1,2,26.8,19.9,10.2,31.6,23,38.08,15.4,53931,830537.4
34041,Warren,NJ,2.4,4.4,5.9,5.5,2,1.8,8.2,6.2,12.9,3,23.5,15.8,7.4,35.9,34.5,28.04,22.6,16416,371001.6
35001,Bernalillo,NM,3.2,3.7,9.4,2.6,6,0.9,13.7,10.7,49,3,25.5,17.5,8.1,22.1,41.7,54.23,10.0,60097,600970.0
35013,Dona Ana,NM,4.2,4.9,16.6,1.3,3,1.9,17.9,13.4,67.8,3,28.4,20.2,7.3,26.1,22.6,42.91,10.0,24408,244080.0
35045,San Juan,NM,4.6,4.6,13.1,0.5,2,1.7,18.2,13,19.8,3,28.6,21.7,5.5,25,26.6,17.82,12.1,17862,216130.2
36001,Albany,NY,3.9,3.3,6.3,11.5,3,1.1,12.6,4.5,7.2,3,21.3,14.4,7.5,36.4,12.5,49.54,15.5,30953,479771.5
36005,Bronx,NY,3.3,6.6,24.6,28.6,6,1.5,28.7,7.8,55,1,27.9,21.4,8.6,29.2,6.9,61.67,18.9,80740,1525986.0
36007,Broome,NY,5.4,4,8.6,5,2,1.1,15.9,5.2,5.5,3,20.2,13.9,7.2,28.6,36.3,48.26,16.1,23293,375017.3
36009,Cattaraugus,NY,5.5,4.1,10.5,1.4,1,2.2,18.7,5.8,2.3,4,21.8,14.1,7.2,35.8,15.3,52.25,18.4,8828,162435.2
36013,Chautauqua,NY,5.1,4.1,10.3,2.1,3,1.9,18.7,6,9.5,4,20.9,13.9,5.9,33.1,21.7,51.12,15.3,15248,233294.4
36015,Chemung,NY,4.3,3.7,9.3,6.3,1,1.2,14.2,4.9,3.7,3,22.9,14.3,6.9,33.3,24.2,48.66,20.4,10315,210426.0
36019,Clinton,NY,7.5,3.8,11.9,2.8,1,1.3,13.2,4.7,3.5,4,20.8,14.1,6.6,32.8,30.2,28.07,19.2,13593,260985.6
36021,Columbia,NY,5.9,3.1,8.2,3.5,1,2.2,11.1,5.4,6.2,4,22.7,14.8,7.1,31.7,15.7,35.55,14.4,10314,148521.6
36027,Dutchess,NY,3,3.2,8.1,9.1,2,1.3,8.4,4.9,15.4,3,23,15.1,7.8,35.4,26.6,27.04,16.0,44843,717488.0
36029,Erie,NY,4.7,3.8,7.5,12.1,7,1.3,12.8,4.2,6.4,1,22.8,14.1,7.1,32.3,12.4,63.78,14.4,72770,1047888.0
36047,Kings,NY,3.8,5.1,15.6,26.6,11,1.5,19.2,6.1,18.9,1,30.2,22.2,7.6,36.8,4.1,47.28,17.4,198735,3457989.0
36055,Monroe,NY,5,3.7,7.9,13.4,4,0.9,14.1,4.4,9.9,1,20.4,13.8,6.5,30,17.5,70.33,22.0,47532,1045704.0
36059,Nassau,NY,4.3,3.2,7.8,10.8,9,0.7,5.9,4.4,18.7,2,26.4,17.7,8.5,34.7,13.7,26.09,14.5,200499,2907235.5
36061,New York,NY,3.3,4.6,10.5,12.4,9,0.8,15.5,5.3,24.4,1,27.7,19.2,8.6,27.4,10.7,41.04,9.7,168815,1637505.5
36063,Niagara,NY,3.5,4.2,7.9,6.3,2,2.6,13.2,4.7,4,2,22.5,14.1,8.4,35.5,12.3,63.59,17.8,18354,326701.2
36065,Oneida,NY,6.1,3.7,11,5.7,2,1.4,16.7,4.9,7,3,22,14.5,6.7,31.1,25.9,44.24,17.4,29758,517789.2
36067,Onondaga,NY,4,3.4,8.2,10.1,4,1,12.5,4.3,5.9,3,21.3,14.2,6.4,29.7,17.4,51.67,16.2,46636,755503.2
36071,Orange,NY,4.4,3.7,10.2,10.4,5,1.4,12,5.6,23.9,3,25.5,17.3,5.8,35.8,15.5,26.75,14.8,47567,703991.6
36075,Oswego,NY,6.6,4.1,10.1,0.9,1,2.6,15.7,5.4,3.3,3,20.4,13.7,6.9,36.9,15.8,48.1,20.1,13193,265179.3
36079,Putnam,NY,4.1,3,6.8,2.7,1,2,6.8,4.4,20,2,23.9,15.7,7.9,32.8,29.3,26.86,14.7,14239,209313.3
36081,Queens,NY,4.4,4.5,17.4,16.3,6,1.6,13.4,8.9,28,1,29.4,19.9,7.8,32.3,6.9,50.96,14.8,181280,2682944.0
36083,Rensselaer,NY,5,3.4,7.4,6.5,1,2,11.2,4.7,6.1,3,21.2,14.5,7.4,38.6,13.2,47.98,17.8,17182,305839.6
36085,Richmond,NY,4.6,4.5,11.6,8.8,2,1.2,11.5,4.8,19.5,1,25.6,17,7.6,34.6,9.6,41.18,16.0,53243,851888.0
36087,Rockland,NY,4.2,3.2,12.8,10.1,2,1.3,15.2,5.9,20.6,2,25.6,17.3,8.6,30.7,18.8,25.07,11.4,42701,486791.4
36089,St. Lawrence,NY,5.7,4.4,10.1,1.9,5,1.7,16.8,5.3,2.5,4,22.7,13.5,7.3,32.6,22.7,32.44,16.4,16163,265073.2
36091,Saratoga,NY,5.4,2.9,5.4,1.6,1,1.4,7.1,3.6,3.9,3,21.1,14.3,7.5,35.9,22.3,50.58,13.1,24740,324094.0
36093,Schenectady,NY,3.6,3.7,8.3,9.5,1,1.4,12.6,4.1,8.2,3,21,14.4,7.3,32.5,22.9,53.48,15.6,15003,234046.8
36103,Suffolk,NY,4.1,3.4,9.6,6.9,10,1.4,6.7,5.2,22.7,2,25,17.3,6.4,36.5,14.4,22.39,16.3,230156,3751542.8
36111,Ulster,NY,3.4,3.5,7.8,5.6,3,1.7,12.7,6.8,12.1,3,24,15.8,7.5,32.5,29.9,30.17,15.9,29074,462276.6
36119,Westchester,NY,3.6,3.3,10.6,12.6,9,0.8,8.7,5.4,27.3,2,25.1,17.2,9.1,29.6,27,30.72,12.9,123412,1592014.8
37001,Alamance,NC,3.8,3.6,11,19.5,1,2.5,13.8,12,15.2,3,24.7,17.4,8.3,33.3,36.6,59.47,18.6,13779,256289.4
37013,Beaufort,NC,4.5,3.7,10.7,22.7,0,2.1,16.1,11.7,7.8,4,25.1,17.5,6.6,31.3,20,25.67,20.3,10102,205070.6
37019,Brunswick,NC,3.6,4,6.5,8.2,2,2.9,9,9.4,5.6,3,22.3,15.6,6.3,31.6,56.4,28.03,11.9,36558,435040.2
37021,Buncombe,NC,2.8,4.4,7.4,4.8,2,0.7,12.4,12.7,8.5,3,22.8,15.9,6.2,26,32,35.53,12.5,39813,497662.5
37031,Carteret,NC,5.7,3.3,6.3,4.1,1,1.8,9.5,10.3,4.9,4,25.2,16.7,5.8,30.7,27.9,20.28,17.9,15539,278148.1
37035,Catawba,NC,4,3.6,11.8,7.6,2,1.7,13,12.3,11.4,3,25.3,16,8.3,29.6,30.3,42.29,12.1,21125,255612.5
37049,Craven,NC,4,3.7,7.7,19.5,1,1.4,12.7,10.9,7.7,4,27.4,19.5,6.5,30,38.4,17.25,15.7,19986,313780.2
37051,Cumberland,NC,3.7,4.5,7.1,36.7,3,1.3,16.5,9.6,12.6,3,28.4,21.6,7.4,33.5,9.9,34.82,20.2,35663,720392.6
37063,Durham,NC,4.8,3.1,8.5,31.8,3,0.9,11.3,11.4,15.8,3,24.1,17.1,8.1,27.2,43.9,38.42,15.0,29808,447120.0
37067,Forsyth,NC,3.1,3.8,9.6,24.5,3,0.9,13.3,11.6,15.1,3,24.6,16.5,9.5,28.7,33,57.83,16.5,30991,511351.5
37071,Gaston,NC,2.1,3.7,11.7,17,1,2.2,12.4,11.5,9.8,2,25.3,17.6,9.5,32.6,32.5,48.03,20.6,23464,483358.4
37081,Guilford,NC,4.2,4.1,9.2,33.4,2,1.2,13.5,10.8,10,3,24.1,16.8,6.8,31.1,38.6,59.18,15.7,39794,624765.8
37083,Halifax,NC,3.8,5.2,17.8,51.4,1,1.5,18.8,12,3.3,4,26.5,19.3,7.9,33.3,11.5,33.15,30.7,9526,292448.2
37089,Henderson,NC,4,3.3,8.4,2.6,2,1.2,9.8,12.8,13,3,23.1,16.2,7.2,27.5,37.3,35.63,10.0,21699,216990.0
37097,Iredell,NC,3.7,3.4,8.5,11,3,1.6,9.6,10.7,9.2,2,25.4,17.6,9.5,31.9,36.3,44.56,14.4,19400,279360.0
37101,Johnston,NC,2.9,3.1,9.5,16.7,1,4.2,9.6,11.5,16.7,2,26.1,18.6,8.1,36.7,34,39.95,24.1,21021,506606.1
37107,Lenoir,NC,3,4,17.1,39.2,1,1.8,19.1,12.7,8.8,4,31.8,24.5,7.1,36,15.1,25.68,29.0,10569,306501.0
37119,Mecklenburg,NC,1.6,3.7,9.2,29.7,7,1.1,10.6,12.3,15.9,1,25.3,18.1,9.5,27.7,41.6,42.21,13.8,82287,1135560.6
37127,Nash,NC,2.8,4.5,12.9,40,1,2.1,12.5,12.8,8.2,3,25.7,18.3,8.1,33.7,25,32.93,23.6,14496,342105.6
37129,New Hanover,NC,4.6,3.4,6,10.7,1,1.1,11.7,10.6,7.8,3,22.8,16.2,3.8,32.4,49.5,27.59,12.9,34438,444250.2
37133,Onslow,NC,5.4,3.8,6.7,11.5,2,3.8,11.5,8.3,14,3,25.8,19.8,6.3,33.2,31.6,18.68,15.1,21483,324393.3
37147,Pitt,NC,3.4,4.1,9.2,34.7,1,0.8,19.8,10.9,7.8,3,27.1,18.9,6.7,32,28.7,28.8,28.1,21568,606060.8
37157,Rockingham,NC,5.9,3.8,14.5,17.2,1,4.1,17.2,12.7,7.1,3,25.5,16.8,8.2,34.6,19.9,62.35,21.9,8888,194647.2
37183,Wake,NC,3.4,3.2,6,18.4,4,1.2,8.6,8,11.5,1,24.8,16.7,10.2,29,35.6,39.32,13.4,91293,1223326.2
37191,Wayne,NC,3,3.7,13.6,29.5,1,2.5,19.3,14,13.7,3,28.7,19.6,7.8,33,22.3,33.47,21.1,16013,337874.3
37195,Wilson,NC,2.6,5.1,14.7,38.6,1,2.3,17.6,13.2,12.3,4,27.7,19.6,7.9,32.2,27.1,29.04,28.7,14027,402574.9
38017,Cass,ND,4.7,2.2,4.1,6.9,3,1,11,5,3.5,3,19.4,12.3,6.4,29.3,47.1,25.37,14.7,19424,285532.8
39017,Butler,OH,2.2,4.3,8.8,8.2,4,2.1,13,7.4,6.9,2,24.3,17,12,35.4,36.7,46.54,22.3,36888,822602.4
39025,Clermont,OH,3,4.2,7.9,1.5,1,1.6,8.6,6.6,2.5,2,23.6,16.4,9.9,34.4,31.6,50.66,21.0,20425,428925.0
39035,Cuyahoga,OH,1.8,3.9,8.5,28.4,15,0.9,14.9,7,7,1,24.3,17.7,10.9,31.1,31.9,49.44,22.2,131324,2915392.8
39049,Franklin,OH,2.8,4.2,8.8,23.1,8,1,13.9,9.5,7.4,1,23.8,17.4,10,30.9,42.9,49.5,17.4,93843,1632868.2
39061,Hamilton,OH,1.9,4.2,7.3,23.9,8,0.9,14.2,6.9,4.8,1,24.4,17.6,12,31.7,38.1,48.12,18.2,77718,1414467.6
39085,Lake,OH,2.8,3.6,5.6,4.7,1,2.4,7.5,6.1,5.3,2,23.3,15.5,6.5,33.3,29.8,46.27,20.8,28928,601702.4
39089,Licking,OH,2.9,4.2,6.5,4.2,1,2.8,9.2,6.3,2.4,2,22.1,15.6,9.8,32.2,34,47.77,19.1,18454,352471.4
39093,Lorain,OH,2.2,4,8.2,7.1,4,1.9,10.8,6.6,11,2,24.1,17.1,7.4,34.8,26.9,47.69,21.5,35886,771549.0
39095,Lucas,OH,2.4,6.1,8.5,18.8,4,1.1,16.8,6.9,7.8,3,25.8,18.9,8.8,33,39.2,50.17,21.4,43001,920221.4
39099,Mahoning,OH,1.8,5,8.1,13.5,2,1,19.3,7.4,6.8,3,25.3,16.1,8.4,31.7,31,57.31,22.2,24299,539437.8
39103,Medina,OH,2.2,3.3,5.7,1,2,1.5,6.1,5.5,2.7,2,21.5,15.2,8.3,32.4,42,48.76,20.9,19475,407027.5
39113,Montgomery,OH,1.9,4.6,7.4,20.3,5,1,14.4,7.7,4.2,3,25.8,18.9,10.5,33.5,26.1,53.35,20.1,52252,1050265.2
39151,Stark,OH,2.4,4.6,6.8,7,3,1.3,12.4,6.7,3,3,23.8,15.4,10.3,32.2,41.4,60.08,17.8,34505,614189.0
39153,Summit,OH,1.9,4.5,7.2,13.7,3,1,13.3,6.7,2.7,3,22.7,15.7,9,31.9,33.6,56.74,19.5,49759,970300.5
39155,Trumbull,OH,2.4,5.2,9.5,8,2,1.9,13.3,8.8,2.2,3,24.5,16.6,7.4,34.4,31,53.8,23.1,23926,552690.6
40013,Bryan,OK,4.9,3.1,11.9,2,1,2.3,14.2,16.7,8,4,30,23.5,8.9,39.2,34.3,14.81,21.4,8011,171435.4
40031,Comanche,OK,2.7,3.5,9,13.8,3,1.4,16.9,11.8,14.6,3,27.5,21.1,8.2,33.6,24.1,14.23,20.1,16753,336735.3
40109,Oklahoma,OK,4.2,3.2,11.5,14,10,1.2,16.2,14.9,20.1,1,25.6,19.4,9.7,36.7,41.9,31.76,12.9,89742,1157671.8
40143,Tulsa,OK,3.1,3.2,10.1,9.2,10,1,13.3,14.2,15.7,1,26.7,19.2,9.4,33.7,28.9,38.77,18.2,70257,1278677.4
41005,Clackamas,OR,3.2,4,5.3,1,3,1.1,8.1,5.2,10,2,22.1,14.1,10.1,26,41,63.5,12.5,31893,398662.5
41011,Coos,OR,6.9,5,8.3,0.4,3,1.3,16.8,7.5,7.2,4,25.5,18.4,7.8,29.9,34.2,15.63,16.4,17557,287934.8
41017,Deschutes,OR,4.1,4.2,4.6,0.3,2,1,7.5,6.3,9.2,3,22.2,16,9.6,30.5,50.9,31.58,8.8,32001,281608.8
41029,Jackson,OR,3.9,5,8,0.6,3,1.1,12.6,7.8,14.6,3,25.6,16.8,8.7,26.1,32.9,35.65,8.6,37414,321760.4
41039,Lane,OR,3.6,4.3,6.7,1,5,1.2,14.6,7.1,10.4,3,23.5,15.1,9.2,25.2,45.2,54.66,12.6,40830,514458.0
41047,Marion,OR,4.8,4.3,13.9,1.1,3,1.4,11.9,10.5,28.9,3,22.9,15.4,10.2,28.8,43.2,59.76,13.7,26594,364337.8
41051,Multnomah,OR,5.4,4.2,7.5,5.2,7,0.7,12.7,6,13.5,1,22.8,15.1,6.5,25.2,37.8,62.07,14.5,49062,711399.0
41067,Washington,OR,5,3.8,7.3,2.1,4,1.1,8.4,5.9,18.5,2,21.8,14.4,6.9,26.1,36.6,60.91,12.5,35911,448887.5
42003,Allegheny,PA,3.1,3.6,4.3,12.3,15,0.9,11.7,4.8,2.9,1,23.3,14.6,14.1,30.2,35.4,63.73,18.5,96444,1784214.0
42011,Berks,PA,2.5,3.9,11.6,3.9,2,1.6,12.8,8.3,24.8,3,21.2,14.5,9.2,32.7,27.5,38.6,21.4,52654,1126795.6
42013,Blair,PA,4.4,3.7,6.2,1.8,4,1.2,12,6.5,1.5,3,24.6,14.2,9.4,37.6,25.8,54.81,18.1,14114,255463.4
42017,Bucks,PA,3.3,3.5,5,3.6,5,1.3,6.1,4.6,6.5,2,23,14.2,9.2,33.2,40.2,35.68,18.1,89953,1628149.3
42019,Butler,PA,4.5,3.4,4.3,1,1,1.4,7.9,4.2,2,2,23.3,14.3,10,30.8,28.2,62.09,15.9,16600,263940.0
42021,Cambria,PA,4.2,4.4,6.9,2.8,2,1.4,14.5,5.2,2.1,3,23,14.1,9.1,37.3,19.6,67.52,21.3,11907,253619.1
42029,Chester,PA,1.8,2.9,5.1,4.8,3,1.3,6.4,4.9,8.3,2,23.2,14.5,9.1,32.4,39.2,26.62,14.8,71028,1051214.4
42037,Columbia,PA,6.3,4.4,7.4,1.6,1,1.9,13.5,6,4,4,21,14.1,8.3,32.1,35.2,42.06,16.7,8678,144922.6
42041,Cumberland,PA,3.3,3.1,6.3,4.1,3,1.2,8.1,6.5,5.1,3,21.6,14.5,10.8,32.5,37.5,43.09,14.4,31000,446400.0
42043,Dauphin,PA,3.2,3.7,8.8,16.2,2,1,13,7.5,11.7,3,22.9,14.6,9.2,31.1,32,52.29,18.9,27421,518256.9
42045,Delaware,PA,2.3,3.7,6.1,21.8,4,1,10.7,5.6,5,2,25.2,16.3,10.8,33.6,24.3,30.67,16.1,75541,1216210.1
42049,Erie,PA,4.5,4,7.1,6.9,5,1.2,14.7,5.8,4.7,3,21.6,14.2,7.5,32.7,28.3,52.56,21.7,28810,625177.0
42055,Franklin,PA,4.3,3.2,8.7,3,2,1.8,9.3,8.6,7.5,3,22.9,14.2,9.1,32.4,27.3,30.86,15.4,25149,387294.6
42069,Lackawanna,PA,3.2,4.2,8.3,2.9,2,1,14.9,6.5,9.8,3,25.6,15,6.5,33.2,28.7,31.45,19.4,35941,697255.4
42071,Lancaster,PA,2.6,3,12.5,3.4,4,1.4,7.7,11,11.5,3,20.3,14.2,11.1,30.7,40.7,43.35,12.8,64082,820249.6
42075,Lebanon,PA,2.9,3.3,11.5,1.7,2,1.7,9.5,8.6,15.2,3,21.8,14.4,9.4,30,19.4,45.26,16.8,17659,296671.2
42077,Lehigh,PA,2.7,4.1,9.5,5.9,1,1,11.1,7.3,27.9,3,23,14.6,8.5,30.7,42.4,38.1,21.9,46635,1021306.5
42079,Luzerne,PA,3.5,4.7,9.8,4,4,1.3,13.4,7.9,17.3,3,25.6,15.3,8.1,35.3,26.9,31.73,19.4,50998,989361.2
42081,Lycoming,PA,4.1,4.1,8.5,3.9,4,1.3,15.1,6.5,2.3,3,22,13.8,8.2,29.4,16.9,38.92,14.6,16651,243104.6
42085,Mercer,PA,3.4,4.2,8.3,5.6,3,1.6,13.1,7.7,1.6,4,24.3,14.6,8,34.8,27.8,55.67,20.2,12910,260782.0
42089,Monroe,PA,2.6,4.4,9.6,12.9,2,2.4,10.8,7.4,18.1,4,24.9,17.3,7.9,31.7,39,29.47,23.9,24559,586960.1
42091,Montgomery,PA,2.4,3.2,4.9,9.1,7,0.8,6.2,4.9,6.7,2,22.9,14.7,7.6,31.3,32.1,30.32,15.7,116896,1835267.2
42095,Northampton,PA,2.2,3.9,7.1,5.6,3,1.2,8.8,6.1,15.4,3,23.3,15,8.6,31.8,42.4,34.61,22.8,45448,1036214.4
42097,Northumberland,PA,3.7,4.2,9.7,2.5,0,2.5,14.2,6.7,5.1,4,22.9,14.6,8.9,34.2,32.6,42.47,21.6,13335,288036.0
42101,Philadelphia,PA,2.6,4.7,12.2,38.3,12,1.3,19.7,8.1,15.5,1,27.7,19.9,8.7,31.5,13,47.91,24.1,135153,3257187.3
42107,Schuylkill,PA,2.7,4.3,9.8,2.6,3,2,12.5,6.9,7.7,4,25.7,15,8.8,34.3,25.9,33.92,24.6,23547,579256.2
42125,Washington,PA,3.4,3.8,5.4,3.1,3,1.5,10.3,5,2,2,23.7,14.6,9.3,31.9,38.2,62.07,18.2,19796,360287.2
42127,Wayne,PA,3.9,4.3,7.7,2.9,1,2.2,13,7.2,5.1,4,24.4,15.1,7.1,32.5,33.8,24.89,16.6,10485,174051.0
42129,Westmoreland,PA,2.3,3.8,4.5,2.4,4,1.5,10.5,4.3,1.6,2,24.1,14.8,7,32.9,33.6,65.37,18.1,32808,593824.8
42133,York,PA,2.6,3.6,8,5.7,3,1.5,9.2,5.8,9.5,3,22.5,14.9,8.9,31.9,32.4,41.39,17.1,55650,951615.0
44003,Kent,RI,3.4,3.8,6.9,1.8,1,1.2,7.8,3.8,6.8,2,20.8,13.5,3.9,34.1,26.8,50.13,18.5,19859,367391.5
44007,Providence,RI,2.7,4.6,13.6,6.9,6,1.1,14.8,6.2,25.6,1,20.6,13.9,8.3,30.4,19.2,51.99,18.9,58266,1101227.4
44009,Washington,RI,3.2,3.5,4.3,1.2,2,1.3,7.8,3.6,3.8,2,21,13.6,3.9,30.4,41.7,41.47,16.0,18490,295840.0
45003,Aiken,SC,3.7,4,9.5,23.6,1,2.9,13.7,10.9,7.2,3,27.1,19.4,10.2,31,33.9,31.53,15.6,27289,425708.4
45007,Anderson,SC,2.6,3.8,11.9,13.4,1,1.6,13.1,11.6,5.1,3,26.4,18.6,9.4,35.7,40.8,41.89,17.9,26390,472381.0
45013,Beaufort,SC,2.8,3.8,5.3,15.5,3,1.5,8.4,11.5,12.3,3,24.2,16,8.5,27.3,53.7,24.76,10.7,39734,425153.8
45019,Charleston,SC,2.6,3.3,6.5,22.6,7,0.8,10.3,10,7.1,3,26.5,18.9,7.1,28.8,36.3,26.49,13.3,56014,744986.2
45041,Florence,SC,2.9,4.4,12,42.9,2,1,17.5,10.9,3.3,3,29.3,22.6,7.7,31,45.4,27.14,22.4,21633,484579.2
45045,Greenville,SC,3.6,3.7,9,15.2,5,0.9,9.9,11.5,11.5,3,25.4,17.1,8.5,32.2,46.2,39.31,11.3,60825,687322.5
45051,Horry,SC,3,4.8,8.1,11.5,4,1.6,14,12.9,7.3,3,24.3,16.8,7.2,30.8,46.2,29.43,17.3,73028,1263384.4
45063,Lexington,SC,5.4,3.5,8,15.1,2,1.5,11.3,9.5,7.9,3,27.1,17.2,8.1,34.7,47.7,28.27,14.5,40339,584915.5
45075,Orangeburg,SC,5,5.9,15.8,60.6,1,2.3,21,11.5,2.6,4,27.8,22.8,8.5,28.2,35.2,42.81,17.5,11791,206342.5
45079,Richland,SC,2.9,4.3,7.8,46.9,5,1.3,15.8,10.1,6.4,3,27.3,20.4,7.9,32.6,47.5,29.13,13.6,48269,656458.4
45083,Spartanburg,SC,5.2,4.2,11.6,19.2,1,1.7,12.5,11.8,9.2,3,25.8,19.3,7.7,29.8,37,44.43,13.1,36805,482145.5
45085,Sumter,SC,3,5.1,10.4,45.7,1,1.7,16.7,9.7,4.4,3,29,23.3,8.3,34.1,43.5,31.68,19.3,15185,293070.5
45091,York,SC,3,4.1,7.4,18.1,1,2.3,8.8,8.9,7.4,2,24.7,17.6,7.8,31.2,39.2,33.91,14.1,32128,453004.8
46099,Minnehaha,SD,3.6,1.8,7.3,6.2,4,0.9,7.5,8.8,6.6,3,20,13.6,4.7,30.3,49.1,26.89,14.0,27025,378350.0
47001,Anderson,TN,6.3,3.3,8.7,3.2,1,1.7,11.5,9,4,3,25.1,17.1,8.3,33.2,30.2,46.88,18.1,9901,179208.1
47009,Blount,TN,5.3,3,8.8,2.5,1,1.4,9.2,9.6,4.6,3,23.8,15.9,6.6,33,38.9,45.58,15.1,17565,265231.5
